start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
10155,10197,2.1,"[1128, 64, 125]",4,118,43.827631278995625,3.8284271247461903,4.854228039160713,3.378653339085082,1.4367345661082846,
10205,10225,1.0,"[1128, 64, 125]",3,246,54.477388563743204,2.414213562373095,0.10231925317324453,0.15150801390544816,,
10225,10227,0.1,"[1128, 64, 125]",2,6,9.321001598166195,1.4142135623730951,0.2101233973179707,0.2421274003787116,,
10232,10237,0.25,"[1128, 64, 125]",2,7,9.321001598166195,1.4142135623730951,0.645809807344452,0.7923500871595286,,
10250,10251,0.05,"[1129, 67, 125]",3,35,25.69478478574062,2.414213562373095,0.0,0.0,,
10251,10263,0.6,"[1129, 67, 125]",2,2,9.127583749109052,2.23606797749979,2.5465952734232276,1.9700087925578984,1.2926821865178977,
10264,10279,0.75,"[1129, 67, 125]",2,12,14.617939770806212,3.1622776601683795,3.7407477050045417,3.0866262806601985,1.2119211607970994,
10281,10320,1.95,"[1129, 67, 125]",5,94,51.389569571481246,4.82842712474619,6.803539509856419,4.082013899899099,1.6667114999350179,
10341,10351,0.5,"[1129, 67, 124]",2,9,18.53138753764188,1.0,0.6209581661698376,0.7094829322637101,,
10377,10386,0.45,"[1129, 68, 124]",2,8,18.53138753764188,1.0,0.29426305712005973,0.3236630586269373,,
10386,10389,0.15,"[1129, 68, 124]",2,7,19.06193790133015,1.0,0.058914326754668886,0.03831206819526611,,
10389,10392,0.15,"[1129, 67, 123]",2,2,3.5637918745545254,1.0,0.32575080698820624,0.42305836135409636,,
10416,10453,1.85,"[1129, 66, 123]",3,15,25.884793405665494,2.414213562373095,3.0427853007420578,1.6085653011415573,1.8916144085556685,
10475,10478,0.15,"[1131, 66, 123]",4,4,13.76043063351952,3.414213562373095,0.3243592981387238,0.43189932544483567,,
10493,10494,0.05,"[1131, 67, 124]",2,16,19.06193790133015,1.0,0.0,0.0,,
10494,10501,0.35,"[1131, 67, 124]",2,2,3.5637918745545254,1.0,0.6806246191115537,0.7008929015519588,,
10503,10513,0.5,"[1131, 67, 124]",3,24,22.625729775884675,2.0,1.7996899987971888,1.4146163026196266,1.2722107015623048,
10566,10571,0.25,"[1131, 67, 123]",2,10,18.53138753764188,1.0,0.0,0.029400003482312233,,
10581,10582,0.05,"[1132, 67, 125]",2,2,3.5637918745545254,1.0,0.0,0.0,,
10586,10588,0.1,"[1132, 67, 125]",2,2,3.5637918745545254,1.0,0.127400009771507,0.19696042318634385,,
10591,10594,0.15,"[1132, 67, 125]",2,2,3.5637918745545254,1.0,0.345240337125276,0.4433012655081417,,
10612,10617,0.25,"[1130, 66, 122]",4,8,19.51764035713119,3.8284271247461903,0.814971693866328,0.9577846131855677,,
10617,10646,1.45,"[1130, 66, 122]",2,2,3.5637918745545254,1.0,6.387951930136996,1.8054225536543156,3.538203240680297,
10659,10660,0.05,"[1131, 65, 122]",2,3,9.321001598166195,1.4142135623730951,0.0,0.0,,
10669,10677,0.4,"[1131, 65, 122]",2,3,9.321001598166195,1.4142135623730951,1.0676541290559842,0.945538430774529,,
10709,10732,1.15,"[1133, 67, 123]",5,45,31.229484452909247,4.414213562373095,4.490510157983706,3.4478157746128475,1.3024217219053538,
10751,10761,0.5,"[1132, 68, 124]",2,7,18.53138753764188,1.0,0.4650250142931364,0.47647975654383945,,
